Name,Address,Zip Code,Phone Number,Website,Latitude,Longitude
"Van Erkom Parking Garage,""226 Schoeman St, Pretoria Central, Pretoria, 0002"","""",""012 323 3986"",""http://www.karaboparking.co.za/"",""-25.7492046"",""28.1893523"","
"Pretoria Parkade,""266 Francis Baard St, Pretoria Central, Pretoria, 0001"","""",""012 320 8751"","""",""-25.7490129"",""28.191868"","
"Karabo Parking - Poytons,""195 Bosman St, Pretoria Central, Pretoria, 0002"","""",""087 806 5390"",""http://www.karaboparking.co.za/"",""-25.7461859"",""28.184796000000002"","
"Karabo Parking - Tramshed,""350 Francis Baard St, Pretoria Central, Pretoria, 0001"","""",""087 806 5390"",""http://karaboparking.co.za/"",""-25.7487979"",""28.195481899999997"","
"Karabo Parking,""325 Thabo Sehume St, Pretoria Central, Pretoria, 0002"","""",""082 098 2771"",""https://www.karaboparking.co.za/"",""-25.750014399999998"",""28.1906122"","
"226 Francis Baard Street Garage,""226 Francis Baard St, Pretoria Central, Pretoria, 0002"","""",""012 346 5682"","""",""-25.7489025"",""28.1891497"","
"Parking Lot,""Koedoespoort 456-Jr, Pretoria, 0186"","""","""","""",""-25.748004100000003"",""28.248341399999997"","
"Parkade,""0001, Pretoria Central, Pretoria"","""","""","""",""-25.747141"",""28.1833481"","
"Car-park,""330 Schubart St, Pretoria Central, Pretoria, 0002"","""","""","""",""-25.7507153"",""28.1838168"","
"Karabo Parking,""153 Bosman St, Pretoria Central, Pretoria, 0002"","""","""","""",""-25.746069"",""28.1854251"","
"Karabo Parking Management (Pty) Ltd,""134 Aramist Ave, Menlyn, Pretoria, 0181"","""",""087 806 5390"",""http://www.karaboparking.co.za/"",""-25.786307899999997"",""28.277925699999997"","
"Parking,""341-301 Middel St, Nieuw Muckleneuk, Pretoria, 0011"","""","""","""",""-25.7707528"",""28.2337475"","
"Sunnypark Parkade,""1109 Trevenna St, Sunnyside, Pretoria, 0002"","""",""083 490 301"","""",""-25.7502039"",""28.2035631"","
"012Central Parking,""216 Sisulu St, Pretoria Central, Pretoria, 0002"","""",""012 357 1613"",""http://www.012central.co.za/"",""-25.746719799999997"",""28.195639999999997"","
"Govpret Parkade,""Cnr. Prinsloo & Van Der Walt St, Pretoria, 0002"","""",""082 629 9806"","""",""-25.7476"",""28.193099999999998"","
"Karabo parking,""Arcadia, Pretoria, 0007"","""","""","""",""-25.7478676"",""28.2292712"","
"Interpark,""536 Schoeman St, Arcadia, Pretoria, 0083"","""",""012 440 8575"","""",""-25.747926999999997"",""28.205316999999997"","
"Karabo Parking Tramshed,""350 Francis Baard St, Pretoria Central, Pretoria, 0002"","""","""","""",""-25.7487979"",""28.1954818"","
"Sancardia Parkade,""Cnr. Hamilton & Church St, Pretoria, 0002"","""",""012 323 6141"","""",""-25.746299999999998"",""28.1928"","
"Menlyn Park Parkade,""Atterbury Rd, Menlyn, Pretoria, 1081"","""",""012 368 1415"","""",""-25.7817141"",""28.2778057"","
"Karabo Parking Management (Pty) Ltd,""La Concorde, Pretoria"","""",""087 806 5390"",""http://www.karaboparking.co.za/"",""-25.7501064"",""28.1945564"","
"Sammy Marks Parkade,""Madiba St, Pretoria Central, Pretoria, 0002"","""",""087 806 5390"",""http://www.karaboparking.co.za/"",""-25.744682299999997"",""28.1938313"","
"Sterland Parkade,""Cnr. Pretorius & Beatrix St, Pretoria, 0002"","""",""084 390 5621"","""",""-25.7473364"",""28.2035938"","
"SANAC Parking,""Johannes Ramokhoase Street,, Pretoria Central, Pretoria, 0001"","""",""012 395 9072"","""",""-25.742713199999997"",""28.192184"","
"Meintjies Plein Parkade,""Cnr. Beatrix & Francis Baard St, Pretoria Central, Pretoria, 0002"","""",""082 362 9239"","""",""-25.749363"",""28.188306"","
"P313 Sunnypark Parkade,""12 Jeppe St, Sunnyside, Pretoria, 0002"","""",""083 490 0301"","""",""-25.7501459"",""28.204172"","
"Pavilion Parkade,""92 Jeppe St, Sunnyside, Pretoria, 0002"","""",""083 623 8352"","""",""-25.7516459"",""28.203483"","
"State Theatre Parking,""216 Sisulu St, Pretoria Central, Pretoria, 0002"","""",""012 392 4287"",""http://www.statetheatre.co.za/"",""-25.7462129"",""28.195511999999997"","
"Roofed Staff Parking,""Elandspoort 357-Jr, Pretoria, 0132"","""","""","""",""-25.755936499999997"",""28.227267299999998"","
"Open Parking,""325 Thabo Sehume St, Pretoria Central, Pretoria, 0002"","""","""","""",""-25.749792199999998"",""28.190700999999997"","
"Karabo Parking Hatfield Plaza.,""455-399 Grosvenor St, Hatfield, Pretoria, 0028"","""",""087 806 5390"","""",""-25.749696699999998"",""28.2375536"","
"Parking Lot of TuksVillage North,""5 Boundary Rd, Koedoespoort 456-Jr, Pretoria, 0186"","""","""","""",""-25.754969"",""28.2457423"","
"Parking Lot at Maroela Residence,""Ox Rd, Koedoespoort 456-Jr, Pretoria, 0186"","""","""","""",""-25.7599502"",""28.248459399999998"","
"DTI Parkade,""Schoeman St, Arcadia, Pretoria, 0002"","""",""083 663 8301"","""",""-25.7484434"",""28.2009723"","
"Arcadia Hotel Parking,""Arcadia, Pretoria, 0083"","""","""","""",""-25.7435084"",""28.2044004"","
"Sport Centre Parking Lot,""Koedoespoort 456-Jr, Pretoria, 0186"","""","""","""",""-25.7531088"",""28.2499266"","
"Poyntons Parkade,""Cnr. Bosman & Church St, Pretoria, 0002"","""",""073 391 8256"","""",""-25.746299999999998"",""28.1928"","
"Huis Katjiepiering Parking Lot,""Ox Rd, Koedoespoort 456-Jr, Pretoria, 0186"","""","""","""",""-25.759107099999998"",""28.2496369"","
"Parking NDoH,""Pretoria Central, Pretoria, 0002"","""","""","""",""-25.7402616"",""28.1898175"","
"Place City Parking,""19 Chroom St, Proclamation Hill, Pretoria, 0183"","""","""","""",""-25.749774199999997"",""28.1391863"","
"Parking Bay,""Moreleta Park, Pretoria, 0044"","""","""","""",""-25.838268900000003"",""28.3019373"","
"Karabo Parking - Finpark,""226 Schoeman St, Pretoria Central, Pretoria, 0002"","""",""087 806 5390"",""http://www.karaboparking.co.za/"",""-25.749260399999997"",""28.189357299999998"","
"Queen Street,""554 jorissene Street Park Street Arcadia Faerie Glen Pretoria 333 Wessels park Street Arcadia Faerie Glen kuntaky drive Fantastic, Pretoria, 0002"","""",""067 156 8704"",""https://queen-street.business.site/?utm_source=gmb&utm_medium=referral"",""-25.749461399999998"",""28.212468899999998"","
